nohup: ignoring input
pid:  947291
Using SSIM loss,Mixing rate is:  [0, 0.5, 1]
==>Building network:
train vit net
2023-09-12 02:31:49,727 - mmseg - WARNING - The model and loaded state dict do not match exactly

unexpected key in source state_dict: cls_head.cls.weight, cls_head.cls.bias

Training model named:   vit4-7pg_cur4_all
Models and tensorboard events files are saved to:   /opt/data/private/wjy/PlaneDepth/log_err
Training is using:   cuda
change level from: -1 to: 0
Using split:
   eigen_zhou
There are 39810 training items , 697 validation items

Has Removed old log files at:   /opt/data/private/wjy/PlaneDepth/log_err/vit4-7pg_cur4_all
Loading ground truth depths... √

Starting from epoch 0 and current learning rate for depth is 5e-05 and pose lr is 0.0001
==>Training started...
epoch   5 | batch   3120 | examples/s:  13.3 | loss: 0.08231 |contrast: 0.00243 with w=0.40000 and real: 0.00608
epoch   5 | batch   3620 | examples/s:  13.5 | loss: 0.08223 |contrast: 0.00243 with w=0.40000 and real: 0.00608
epoch   5 | batch   4120 | examples/s:  13.6 | loss: 0.08211 |contrast: 0.00243 with w=0.40000 and real: 0.00607
epoch   5 | batch   4620 | examples/s:  13.7 | loss: 0.08203 |contrast: 0.00242 with w=0.40000 and real: 0.00606
epoch   6 | batch    144 | examples/s:  13.7 | loss: 0.07980 |contrast: 0.00436 with w=0.80000 and real: 0.00545
epoch   6 | batch    644 | examples/s:  13.7 | loss: 0.08010 |contrast: 0.00414 with w=0.80000 and real: 0.00517
epoch   6 | batch   1144 | examples/s:  12.5 | loss: 0.08042 |contrast: 0.00404 with w=0.80000 and real: 0.00505
epoch   6 | batch   1644 | examples/s:  13.7 | loss: 0.08062 |contrast: 0.00400 with w=0.80000 and real: 0.00500
epoch   6 | batch   2144 | examples/s:  13.8 | loss: 0.08089 |contrast: 0.00396 with w=0.80000 and real: 0.00495
epoch   6 | batch   2644 | examples/s:  13.7 | loss: 0.08082 |contrast: 0.00393 with w=0.80000 and real: 0.00491
epoch   6 | batch   3144 | examples/s:  13.6 | loss: 0.08081 |contrast: 0.00390 with w=0.80000 and real: 0.00488
epoch   6 | batch   3644 | examples/s:  13.6 | loss: 0.08077 |contrast: 0.00388 with w=0.80000 and real: 0.00485
epoch   6 | batch   4144 | examples/s:  13.6 | loss: 0.08065 |contrast: 0.00386 with w=0.80000 and real: 0.00482
